sensor_id,zone,type,reading,unit,state,assessment,timestamp
KAGGLE-00001-T,Kaggle- rice       -1,TEMPERATURE,20.9,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00001-P,Kaggle- rice       -1,PH,6.5,pH,NORMAL,OPTIMAL — ideal for crops,2026-05-20
KAGGLE-00001-M,Kaggle- rice       -1,MOISTURE,0.294,VWC,WARNING,DRY — schedule irrigation within 24hrs,2026-05-20
KAGGLE-00003-M,Kaggle- rice       -3,MOISTURE,0.294,VWC,WARNING,DRY — schedule irrigation within 24hrs,2026-05-20
KAGGLE-00003-T,Kaggle- rice       -3,TEMPERATURE,23.0,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00002-P,Kaggle- rice       -2,PH,7.04,pH,WARNING,ALKALINE — nutrient availability reduced,2026-05-20
KAGGLE-00002-T,Kaggle- rice       -2,TEMPERATURE,21.8,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00002-M,Kaggle- rice       -2,MOISTURE,0.129,VWC,ALERT,CRITICAL DRY — irrigate immediately,2026-05-20
KAGGLE-00004-M,Kaggle- rice       -4,MOISTURE,0.262,VWC,WARNING,DRY — schedule irrigation within 24hrs,2026-05-20
KAGGLE-00003-P,Kaggle- rice       -3,PH,7.84,pH,ALERT,HIGHLY ALKALINE — soil amendment required,2026-05-20
KAGGLE-00004-P,Kaggle- rice       -4,PH,6.98,pH,WARNING,ALKALINE — nutrient availability reduced,2026-05-20
KAGGLE-00004-T,Kaggle- rice       -4,TEMPERATURE,26.5,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00005-T,Kaggle- rice       -5,TEMPERATURE,20.1,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00005-M,Kaggle- rice       -5,MOISTURE,0.282,VWC,WARNING,DRY — schedule irrigation within 24hrs,2026-05-20
KAGGLE-00006-T,Kaggle- rice       -6,TEMPERATURE,23.1,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00006-M,Kaggle- rice       -6,MOISTURE,0.236,VWC,WARNING,DRY — schedule irrigation within 24hrs,2026-05-20
KAGGLE-00005-P,Kaggle- rice       -5,PH,7.63,pH,ALERT,HIGHLY ALKALINE — soil amendment required,2026-05-20
KAGGLE-00007-M,Kaggle- rice       -7,MOISTURE,0.153,VWC,ALERT,CRITICAL DRY — irrigate immediately,2026-05-20
KAGGLE-00006-P,Kaggle- rice       -6,PH,7.07,pH,WARNING,ALKALINE — nutrient availability reduced,2026-05-20
KAGGLE-00007-P,Kaggle- rice       -7,PH,5.7,pH,NORMAL,OPTIMAL — ideal for crops,2026-05-20
KAGGLE-00007-T,Kaggle- rice       -7,TEMPERATURE,22.7,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00008-M,Kaggle- rice       -8,MOISTURE,0.208,VWC,WARNING,DRY — schedule irrigation within 24hrs,2026-05-20
KAGGLE-00008-T,Kaggle- rice       -8,TEMPERATURE,20.3,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00009-M,Kaggle- rice       -9,MOISTURE,0.266,VWC,WARNING,DRY — schedule irrigation within 24hrs,2026-05-20
KAGGLE-00008-P,Kaggle- rice       -8,PH,5.72,pH,NORMAL,OPTIMAL — ideal for crops,2026-05-20
KAGGLE-00009-T,Kaggle- rice       -9,TEMPERATURE,24.5,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00010-T,Kaggle- rice       -10,TEMPERATURE,23.2,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00010-M,Kaggle- rice       -10,MOISTURE,0.244,VWC,WARNING,DRY — schedule irrigation within 24hrs,2026-05-20
KAGGLE-00011-T,Kaggle- rice       -11,TEMPERATURE,26.5,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00011-M,Kaggle- rice       -11,MOISTURE,0.205,VWC,WARNING,DRY — schedule irrigation within 24hrs,2026-05-20
KAGGLE-00011-P,Kaggle- rice       -11,PH,5.39,pH,WARNING,ACIDIC — consider lime treatment,2026-05-20
KAGGLE-00009-P,Kaggle- rice       -9,PH,6.69,pH,NORMAL,OPTIMAL — ideal for crops,2026-05-20
KAGGLE-00012-T,Kaggle- rice       -12,TEMPERATURE,24.0,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00012-M,Kaggle- rice       -12,MOISTURE,0.154,VWC,ALERT,CRITICAL DRY — irrigate immediately,2026-05-20
KAGGLE-00010-P,Kaggle- rice       -10,PH,6.34,pH,NORMAL,OPTIMAL — ideal for crops,2026-05-20
KAGGLE-00013-M,Kaggle- rice       -13,MOISTURE,0.157,VWC,ALERT,CRITICAL DRY — irrigate immediately,2026-05-20
KAGGLE-00014-M,Kaggle- rice       -14,MOISTURE,0.181,VWC,ALERT,CRITICAL DRY — irrigate immediately,2026-05-20
KAGGLE-00012-P,Kaggle- rice       -12,PH,7.5,pH,WARNING,ALKALINE — nutrient availability reduced,2026-05-20
KAGGLE-00013-P,Kaggle- rice       -13,PH,5.11,pH,WARNING,ACIDIC — consider lime treatment,2026-05-20
KAGGLE-00013-T,Kaggle- rice       -13,TEMPERATURE,26.8,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00015-M,Kaggle- rice       -15,MOISTURE,0.197,VWC,ALERT,CRITICAL DRY — irrigate immediately,2026-05-20
KAGGLE-00014-P,Kaggle- rice       -14,PH,6.98,pH,WARNING,ALKALINE — nutrient availability reduced,2026-05-20
KAGGLE-00014-T,Kaggle- rice       -14,TEMPERATURE,24.0,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00015-T,Kaggle- rice       -15,TEMPERATURE,25.7,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00016-T,Kaggle- rice       -16,TEMPERATURE,24.3,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00016-M,Kaggle- rice       -16,MOISTURE,0.233,VWC,WARNING,DRY — schedule irrigation within 24hrs,2026-05-20
KAGGLE-00015-P,Kaggle- rice       -15,PH,6.95,pH,WARNING,ALKALINE — nutrient availability reduced,2026-05-20
KAGGLE-00017-T,Kaggle- rice       -17,TEMPERATURE,21.6,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00017-M,Kaggle- rice       -17,MOISTURE,0.123,VWC,ALERT,CRITICAL DRY — irrigate immediately,2026-05-20
KAGGLE-00016-P,Kaggle- rice       -16,PH,7.04,pH,WARNING,ALKALINE — nutrient availability reduced,2026-05-20
KAGGLE-00018-M,Kaggle- rice       -18,MOISTURE,0.205,VWC,WARNING,DRY — schedule irrigation within 24hrs,2026-05-20
KAGGLE-00018-T,Kaggle- rice       -18,TEMPERATURE,23.8,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00017-P,Kaggle- rice       -17,PH,6.25,pH,NORMAL,OPTIMAL — ideal for crops,2026-05-20
KAGGLE-00019-T,Kaggle- rice       -19,TEMPERATURE,21.9,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00019-M,Kaggle- rice       -19,MOISTURE,0.199,VWC,ALERT,CRITICAL DRY — irrigate immediately,2026-05-20
KAGGLE-00018-P,Kaggle- rice       -18,PH,6.97,pH,WARNING,ALKALINE — nutrient availability reduced,2026-05-20
KAGGLE-00020-T,Kaggle- rice       -20,TEMPERATURE,23.6,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00020-M,Kaggle- rice       -20,MOISTURE,0.258,VWC,WARNING,DRY — schedule irrigation within 24hrs,2026-05-20
KAGGLE-00019-P,Kaggle- rice       -19,PH,5.95,pH,NORMAL,OPTIMAL — ideal for crops,2026-05-20
KAGGLE-00021-P,Kaggle- rice       -21,PH,6.44,pH,NORMAL,OPTIMAL — ideal for crops,2026-05-20
KAGGLE-00021-M,Kaggle- rice       -21,MOISTURE,0.179,VWC,ALERT,CRITICAL DRY — irrigate immediately,2026-05-20
KAGGLE-00020-P,Kaggle- rice       -20,PH,5.85,pH,NORMAL,OPTIMAL — ideal for crops,2026-05-20
KAGGLE-00021-T,Kaggle- rice       -21,TEMPERATURE,21.3,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00022-P,Kaggle- rice       -22,PH,5.07,pH,WARNING,ACIDIC — consider lime treatment,2026-05-20
KAGGLE-00022-M,Kaggle- rice       -22,MOISTURE,0.169,VWC,ALERT,CRITICAL DRY — irrigate immediately,2026-05-20
KAGGLE-00022-T,Kaggle- rice       -22,TEMPERATURE,25.2,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
